City,Category,Subcategory,Outcome,Count
Mallapuram,Junction,T,Total number of Accidents,165
Mallapuram,Junction,Y,Greviously Injured,40
Mallapuram,Junction,Y,Minor Injury,26
Mallapuram,Junction,Y,Persons Killed,10
Mallapuram,Junction,Y,Total Injured,66
Mallapuram,Junction,Y,Total number of Accidents,62
Meerut,Junction,Four arm Junction,Greviously Injured,0
Meerut,Junction,Four arm Junction,Minor Injury,22
Meerut,Junction,Four arm Junction,Persons Killed,19
Meerut,Junction,Four arm Junction,Total Injured,22
Meerut,Junction,Four arm Junction,Total number of Accidents,38
Meerut,Junction,Others,Greviously Injured,24
Meerut,Junction,Others,Minor Injury,381
Meerut,Junction,Others,Persons Killed,287
Meerut,Junction,Others,Total Injured,405
Meerut,Junction,Others,Total number of Accidents,604
Meerut,Junction,Round about Junction,Greviously Injured,0
Meerut,Junction,Round about Junction,Minor Injury,7
Meerut,Junction,Round about Junction,Persons Killed,6
Meerut,Junction,Round about Junction,Total Injured,7
Meerut,Junction,Round about Junction,Total number of Accidents,11
Meerut,Junction,Staggered Junction,Greviously Injured,1
Meerut,Junction,Staggered Junction,Minor Injury,11
Meerut,Junction,Staggered Junction,Persons Killed,12
Meerut,Junction,Staggered Junction,Total Injured,12
Meerut,Junction,Staggered Junction,Total number of Accidents,17
Meerut,Junction,T,Greviously Injured,2
Meerut,Junction,T,Minor Injury,24
Meerut,Junction,T,Persons Killed,14
Meerut,Junction,T,Total Injured,26
Meerut,Junction,T,Total number of Accidents,35
Meerut,Junction,Y,Greviously Injured,0
Meerut,Junction,Y,Minor Injury,15
Meerut,Junction,Y,Persons Killed,11
Meerut,Junction,Y,Total Injured,15
Meerut,Junction,Y,Total number of Accidents,20
Mumbai,Junction,Four arm Junction,Greviously Injured,0
Mumbai,Junction,Four arm Junction,Minor Injury,0
Mumbai,Junction,Four arm Junction,Persons Killed,0
Mumbai,Junction,Four arm Junction,Total Injured,0
Mumbai,Junction,Four arm Junction,Total number of Accidents,0
Mumbai,Junction,Others,Greviously Injured,1
Mumbai,Junction,Others,Minor Injury,1
Mumbai,Junction,Others,Persons Killed,1
Mumbai,Junction,Others,Total Injured,2
Mumbai,Junction,Others,Total number of Accidents,4
Mumbai,Junction,Round about Junction,Greviously Injured,0
Mumbai,Junction,Round about Junction,Minor Injury,0
Mumbai,Junction,Round about Junction,Persons Killed,0
Mumbai,Junction,Round about Junction,Total Injured,0
Mumbai,Junction,Round about Junction,Total number of Accidents,0
Mumbai,Junction,Staggered Junction,Greviously Injured,1296
Mumbai,Junction,Staggered Junction,Minor Injury,442
Mumbai,Junction,Staggered Junction,Persons Killed,28
Mumbai,Junction,Staggered Junction,Total Injured,1738
Mumbai,Junction,Staggered Junction,Total number of Accidents,1494
Mumbai,Junction,T,Greviously Injured,0
Mumbai,Junction,T,Minor Injury,0
Mumbai,Junction,T,Persons Killed,110
Mumbai,Junction,T,Total Injured,0
Mumbai,Junction,T,Total number of Accidents,107
Mumbai,Junction,Y,Greviously Injured,0
Mumbai,Junction,Y,Minor Injury,0
Mumbai,Junction,Y,Persons Killed,210
Mumbai,Junction,Y,Total Injured,0
Mumbai,Junction,Y,Total number of Accidents,207
Nagpur,Junction,Four arm Junction,Greviously Injured,49
Nagpur,Junction,Four arm Junction,Minor Injury,48
Nagpur,Junction,Four arm Junction,Persons Killed,27
Nagpur,Junction,Four arm Junction,Total Injured,97
Nagpur,Junction,Four arm Junction,Total number of Accidents,103
Nagpur,Junction,Others,Greviously Injured,368
Nagpur,Junction,Others,Minor Injury,281
Nagpur,Junction,Others,Persons Killed,183
Nagpur,Junction,Others,Total Injured,649
Nagpur,Junction,Others,Total number of Accidents,664
Nagpur,Junction,Round about Junction,Greviously Injured,0
Nagpur,Junction,Round about Junction,Minor Injury,0
Nagpur,Junction,Round about Junction,Persons Killed,0
Nagpur,Junction,Round about Junction,Total Injured,0
Nagpur,Junction,Round about Junction,Total number of Accidents,0
Nagpur,Junction,Staggered Junction,Greviously Injured,0
Nagpur,Junction,Staggered Junction,Minor Injury,1
Nagpur,Junction,Staggered Junction,Persons Killed,0
Nagpur,Junction,Staggered Junction,Total Injured,1
Nagpur,Junction,Staggered Junction,Total number of Accidents,1
Nagpur,Junction,T,Greviously Injured,2
Nagpur,Junction,T,Minor Injury,1
Nagpur,Junction,T,Persons Killed,0
Nagpur,Junction,T,Total Injured,3
Nagpur,Junction,T,Total number of Accidents,3
Nagpur,Junction,Y,Greviously Injured,1
Nagpur,Junction,Y,Minor Injury,1
Nagpur,Junction,Y,Persons Killed,0
Nagpur,Junction,Y,Total Injured,2
Nagpur,Junction,Y,Total number of Accidents,2
Nashik,Junction,Four arm Junction,Greviously Injured,42
Nashik,Junction,Four arm Junction,Minor Injury,14
Nashik,Junction,Four arm Junction,Persons Killed,19
Nashik,Junction,Four arm Junction,Total Injured,56
Nashik,Junction,Four arm Junction,Total number of Accidents,59
Nashik,Junction,Others,Greviously Injured,221
Nashik,Junction,Others,Minor Injury,61
Nashik,Junction,Others,Persons Killed,136
Nashik,Junction,Others,Total Injured,282
Nashik,Junction,Others,Total number of Accidents,324
Nashik,Junction,Round about Junction,Greviously Injured,9
Nashik,Junction,Round about Junction,Minor Injury,0
Nashik,Junction,Round about Junction,Persons Killed,0
Nashik,Junction,Round about Junction,Total Injured,9
Nashik,Junction,Round about Junction,Total number of Accidents,5
Nashik,Junction,Staggered Junction,Greviously Injured,0
Nashik,Junction,Staggered Junction,Minor Injury,0
Nashik,Junction,Staggered Junction,Persons Killed,0
Nashik,Junction,Staggered Junction,Total Injured,0
Nashik,Junction,Staggered Junction,Total number of Accidents,0
Nashik,Junction,T,Greviously Injured,15
Nashik,Junction,T,Minor Injury,3
Nashik,Junction,T,Persons Killed,16
Nashik,Junction,T,Total Injured,18
Nashik,Junction,T,Total number of Accidents,28
Nashik,Junction,Y,Greviously Injured,0
Nashik,Junction,Y,Minor Injury,0
Nashik,Junction,Y,Persons Killed,0
Nashik,Junction,Y,Total Injured,0
Nashik,Junction,Y,Total number of Accidents,0
Patna,Junction,Four arm Junction,Greviously Injured,10
Patna,Junction,Four arm Junction,Minor Injury,0
Patna,Junction,Four arm Junction,Persons Killed,2
Patna,Junction,Four arm Junction,Total Injured,10
Patna,Junction,Four arm Junction,Total number of Accidents,10
Patna,Junction,Others,Greviously Injured,143
Patna,Junction,Others,Minor Injury,10
Patna,Junction,Others,Persons Killed,131
Patna,Junction,Others,Total Injured,153
Patna,Junction,Others,Total number of Accidents,273
Patna,Junction,Round about Junction,Greviously Injured,8
Patna,Junction,Round about Junction,Minor Injury,0
Patna,Junction,Round about Junction,Persons Killed,3
Patna,Junction,Round about Junction,Total Injured,8
Patna,Junction,Round about Junction,Total number of Accidents,11
Patna,Junction,Staggered Junction,Greviously Injured,0
Patna,Junction,Staggered Junction,Minor Injury,0
Patna,Junction,Staggered Junction,Persons Killed,0
Patna,Junction,Staggered Junction,Total Injured,0
Patna,Junction,Staggered Junction,Total number of Accidents,0
Patna,Junction,T,Greviously Injured,42
Patna,Junction,T,Minor Injury,3
Patna,Junction,T,Persons Killed,28
Patna,Junction,T,Total Injured,45
Patna,Junction,T,Total number of Accidents,48
Patna,Junction,Y,Greviously Injured,25
Patna,Junction,Y,Minor Injury,2
Patna,Junction,Y,Persons Killed,17
Patna,Junction,Y,Total Injured,27
Patna,Junction,Y,Total number of Accidents,31
Pune,Junction,Four arm Junction,Greviously Injured,61
Pune,Junction,Four arm Junction,Minor Injury,20
Pune,Junction,Four arm Junction,Persons Killed,24
Pune,Junction,Four arm Junction,Total Injured,81
Pune,Junction,Four arm Junction,Total number of Accidents,108
Pune,Junction,Others,Greviously Injured,188
Pune,Junction,Others,Minor Injury,63
Pune,Junction,Others,Persons Killed,98
Pune,Junction,Others,Total Injured,251
Pune,Junction,Others,Total number of Accidents,294
Pune,Junction,Round about Junction,Greviously Injured,4
Pune,Junction,Round about Junction,Minor Injury,1
Pune,Junction,Round about Junction,Persons Killed,0
Pune,Junction,Round about Junction,Total Injured,5
Pune,Junction,Round about Junction,Total number of Accidents,6
Pune,Junction,Staggered Junction,Greviously Injured,0
Pune,Junction,Staggered Junction,Minor Injury,0
Pune,Junction,Staggered Junction,Persons Killed,0
Pune,Junction,Staggered Junction,Total Injured,0
Pune,Junction,Staggered Junction,Total number of Accidents,0
Pune,Junction,T,Greviously Injured,22
Pune,Junction,T,Minor Injury,3
Pune,Junction,T,Persons Killed,11
Pune,Junction,T,Total Injured,25
Pune,Junction,T,Total number of Accidents,37
Pune,Junction,Y,Greviously Injured,22
Pune,Junction,Y,Minor Injury,4
Pune,Junction,Y,Persons Killed,10
Pune,Junction,Y,Total Injured,26
Pune,Junction,Y,Total number of Accidents,37
Raipur,Junction,Four arm Junction,Greviously Injured,13
Raipur,Junction,Four arm Junction,Minor Injury,131
Raipur,Junction,Four arm Junction,Persons Killed,49
Raipur,Junction,Four arm Junction,Total Injured,144
Raipur,Junction,Four arm Junction,Total number of Accidents,304
Raipur,Junction,Others,Greviously Injured,19
Raipur,Junction,Others,Minor Injury,858
Raipur,Junction,Others,Persons Killed,264
Raipur,Junction,Others,Total Injured,877
Raipur,Junction,Others,Total number of Accidents,956
Raipur,Junction,Round about Junction,Greviously Injured,0
Raipur,Junction,Round about Junction,Minor Injury,0
Raipur,Junction,Round about Junction,Persons Killed,0
Raipur,Junction,Round about Junction,Total Injured,0
Raipur,Junction,Round about Junction,Total number of Accidents,0
Raipur,Junction,Staggered Junction,Greviously Injured,0
Raipur,Junction,Staggered Junction,Minor Injury,0
Raipur,Junction,Staggered Junction,Persons Killed,0
Raipur,Junction,Staggered Junction,Total Injured,0
Raipur,Junction,Staggered Junction,Total number of Accidents,0
Raipur,Junction,T,Greviously Injured,15
Raipur,Junction,T,Minor Injury,224
Raipur,Junction,T,Persons Killed,163
Raipur,Junction,T,Total Injured,239
Raipur,Junction,T,Total number of Accidents,461
Raipur,Junction,Y,Greviously Injured,2
Raipur,Junction,Y,Minor Injury,32
Raipur,Junction,Y,Persons Killed,6
Raipur,Junction,Y,Total Injured,34
Raipur,Junction,Y,Total number of Accidents,45
Rajkot,Junction,Four arm Junction,Greviously Injured,12
Rajkot,Junction,Four arm Junction,Minor Injury,10
Rajkot,Junction,Four arm Junction,Persons Killed,11
Rajkot,Junction,Four arm Junction,Total Injured,22
Rajkot,Junction,Four arm Junction,Total number of Accidents,37
Rajkot,Junction,Others,Greviously Injured,160
Rajkot,Junction,Others,Minor Injury,92
Rajkot,Junction,Others,Persons Killed,108
Rajkot,Junction,Others,Total Injured,252
Rajkot,Junction,Others,Total number of Accidents,325
Rajkot,Junction,Round about Junction,Greviously Injured,11
Rajkot,Junction,Round about Junction,Minor Injury,7
Rajkot,Junction,Round about Junction,Persons Killed,7
Rajkot,Junction,Round about Junction,Total Injured,18
Rajkot,Junction,Round about Junction,Total number of Accidents,23
Rajkot,Junction,Staggered Junction,Greviously Injured,1
Rajkot,Junction,Staggered Junction,Minor Injury,6
Rajkot,Junction,Staggered Junction,Persons Killed,2
Rajkot,Junction,Staggered Junction,Total Injured,7
Rajkot,Junction,Staggered Junction,Total number of Accidents,9
Rajkot,Junction,T,Greviously Injured,11
Rajkot,Junction,T,Minor Injury,2
Rajkot,Junction,T,Persons Killed,5
Rajkot,Junction,T,Total Injured,13
Rajkot,Junction,T,Total number of Accidents,19
Rajkot,Junction,Y,Greviously Injured,6
Rajkot,Junction,Y,Minor Injury,6
Rajkot,Junction,Y,Persons Killed,5
Rajkot,Junction,Y,Total Injured,12
Rajkot,Junction,Y,Total number of Accidents,19
Srinagar,Junction,Four arm Junction,Greviously Injured,0
Srinagar,Junction,Four arm Junction,Minor Injury,0
Srinagar,Junction,Four arm Junction,Persons Killed,0
Srinagar,Junction,Four arm Junction,Total Injured,0
Srinagar,Junction,Four arm Junction,Total number of Accidents,0
Srinagar,Junction,Others,Greviously Injured,0
Srinagar,Junction,Others,Minor Injury,275
Srinagar,Junction,Others,Persons Killed,45
Srinagar,Junction,Others,Total Injured,275
Srinagar,Junction,Others,Total number of Accidents,275
Srinagar,Junction,Round about Junction,Greviously Injured,0
Srinagar,Junction,Round about Junction,Minor Injury,0
Srinagar,Junction,Round about Junction,Persons Killed,0
Srinagar,Junction,Round about Junction,Total Injured,0
Srinagar,Junction,Round about Junction,Total number of Accidents,0
Srinagar,Junction,Staggered Junction,Greviously Injured,0
Srinagar,Junction,Staggered Junction,Minor Injury,0
Srinagar,Junction,Staggered Junction,Persons Killed,0
Srinagar,Junction,Staggered Junction,Total Injured,0
Srinagar,Junction,Staggered Junction,Total number of Accidents,0
Srinagar,Junction,T,Greviously Injured,0
Srinagar,Junction,T,Minor Injury,0
Srinagar,Junction,T,Persons Killed,0
Srinagar,Junction,T,Total Injured,0
Srinagar,Junction,T,Total number of Accidents,0
Srinagar,Junction,Y,Greviously Injured,0
Srinagar,Junction,Y,Minor Injury,0
Srinagar,Junction,Y,Persons Killed,0
Srinagar,Junction,Y,Total Injured,0
Srinagar,Junction,Y,Total number of Accidents,0
Surat,Junction,Four arm Junction,Greviously Injured,29
Surat,Junction,Four arm Junction,Minor Injury,16
Surat,Junction,Four arm Junction,Persons Killed,15
Surat,Junction,Four arm Junction,Total Injured,45
Surat,Junction,Four arm Junction,Total number of Accidents,62
Surat,Junction,Others,Greviously Injured,188
Surat,Junction,Others,Minor Injury,57
Surat,Junction,Others,Persons Killed,110
Surat,Junction,Others,Total Injured,245
Surat,Junction,Others,Total number of Accidents,327
Surat,Junction,Round about Junction,Greviously Injured,26
Surat,Junction,Round about Junction,Minor Injury,9
Surat,Junction,Round about Junction,Persons Killed,16
Surat,Junction,Round about Junction,Total Injured,35
Surat,Junction,Round about Junction,Total number of Accidents,52
Surat,Junction,Staggered Junction,Greviously Injured,21
Surat,Junction,Staggered Junction,Minor Injury,5
Surat,Junction,Staggered Junction,Persons Killed,17
Surat,Junction,Staggered Junction,Total Injured,26
Surat,Junction,Staggered Junction,Total number of Accidents,42
Surat,Junction,T,Greviously Injured,38
Surat,Junction,T,Minor Injury,12
Surat,Junction,T,Persons Killed,25
Surat,Junction,T,Total Injured,50
Surat,Junction,T,Total number of Accidents,68
Surat,Junction,Y,Greviously Injured,16
Surat,Junction,Y,Minor Injury,6
Surat,Junction,Y,Persons Killed,8
Surat,Junction,Y,Total Injured,22
Surat,Junction,Y,Total number of Accidents,24
Thiruvanthapuram,Junction,Four arm Junction,Greviously Injured,44
Thiruvanthapuram,Junction,Four arm Junction,Minor Injury,14
Thiruvanthapuram,Junction,Four arm Junction,Persons Killed,6
Thiruvanthapuram,Junction,Four arm Junction,Total Injured,58
Thiruvanthapuram,Junction,Four arm Junction,Total number of Accidents,55
Thiruvanthapuram,Junction,Others,Greviously Injured,783
Thiruvanthapuram,Junction,Others,Minor Injury,190
Thiruvanthapuram,Junction,Others,Persons Killed,86
Thiruvanthapuram,Junction,Others,Total Injured,973
Thiruvanthapuram,Junction,Others,Total number of Accidents,929
Thiruvanthapuram,Junction,Round about Junction,Greviously Injured,14
Thiruvanthapuram,Junction,Round about Junction,Minor Injury,4
Thiruvanthapuram,Junction,Round about Junction,Persons Killed,2
Thiruvanthapuram,Junction,Round about Junction,Total Injured,18
Thiruvanthapuram,Junction,Round about Junction,Total number of Accidents,21
Thiruvanthapuram,Junction,Staggered Junction,Greviously Injured,26
Thiruvanthapuram,Junction,Staggered Junction,Minor Injury,9
Thiruvanthapuram,Junction,Staggered Junction,Persons Killed,5
Thiruvanthapuram,Junction,Staggered Junction,Total Injured,35
Thiruvanthapuram,Junction,Staggered Junction,Total number of Accidents,33
Thiruvanthapuram,Junction,T,Greviously Injured,111
Thiruvanthapuram,Junction,T,Minor Injury,14
Thiruvanthapuram,Junction,T,Persons Killed,6
Thiruvanthapuram,Junction,T,Total Injured,125
Thiruvanthapuram,Junction,T,Total number of Accidents,121
Thiruvanthapuram,Junction,Y,Greviously Injured,46
Thiruvanthapuram,Junction,Y,Minor Injury,8
Thiruvanthapuram,Junction,Y,Persons Killed,3
Thiruvanthapuram,Junction,Y,Total Injured,54
Thiruvanthapuram,Junction,Y,Total number of Accidents,55
Thrissur,Junction,Four arm Junction,Greviously Injured,78
Thrissur,Junction,Four arm Junction,Minor Injury,30
Thrissur,Junction,Four arm Junction,Persons Killed,8
Thrissur,Junction,Four arm Junction,Total Injured,108
Thrissur,Junction,Four arm Junction,Total number of Accidents,98
Thrissur,Junction,Others,Greviously Injured,571
Thrissur,Junction,Others,Minor Injury,313
Thrissur,Junction,Others,Persons Killed,86
Thrissur,Junction,Others,Total Injured,884
Thrissur,Junction,Others,Total number of Accidents,776
Thrissur,Junction,Round about Junction,Greviously Injured,6
Thrissur,Junction,Round about Junction,Minor Injury,1
Thrissur,Junction,Round about Junction,Persons Killed,0
Thrissur,Junction,Round about Junction,Total Injured,7
Thrissur,Junction,Round about Junction,Total number of Accidents,5
Thrissur,Junction,Staggered Junction,Greviously Injured,10
Thrissur,Junction,Staggered Junction,Minor Injury,7
Thrissur,Junction,Staggered Junction,Persons Killed,0
Thrissur,Junction,Staggered Junction,Total Injured,17
Thrissur,Junction,Staggered Junction,Total number of Accidents,15
Thrissur,Junction,T,Greviously Injured,303
Thrissur,Junction,T,Minor Injury,105
Thrissur,Junction,T,Persons Killed,25
Thrissur,Junction,T,Total Injured,408
Thrissur,Junction,T,Total number of Accidents,379
Thrissur,Junction,Y,Greviously Injured,134
Thrissur,Junction,Y,Minor Injury,74
Thrissur,Junction,Y,Persons Killed,15
Thrissur,Junction,Y,Total Injured,208
Thrissur,Junction,Y,Total number of Accidents,191
Tiruchirapalli,Junction,Four arm Junction,Greviously Injured,0
Tiruchirapalli,Junction,Four arm Junction,Minor Injury,0
Tiruchirapalli,Junction,Four arm Junction,Persons Killed,0
Tiruchirapalli,Junction,Four arm Junction,Total Injured,0
Tiruchirapalli,Junction,Four arm Junction,Total number of Accidents,0
Tiruchirapalli,Junction,Others,Greviously Injured,0
Tiruchirapalli,Junction,Others,Minor Injury,143
Tiruchirapalli,Junction,Others,Persons Killed,19
Tiruchirapalli,Junction,Others,Total Injured,143
Tiruchirapalli,Junction,Others,Total number of Accidents,136
Tiruchirapalli,Junction,Round about Junction,Greviously Injured,0
Tiruchirapalli,Junction,Round about Junction,Minor Injury,24
Tiruchirapalli,Junction,Round about Junction,Persons Killed,4
Tiruchirapalli,Junction,Round about Junction,Total Injured,24
Tiruchirapalli,Junction,Round about Junction,Total number of Accidents,21
Tiruchirapalli,Junction,Staggered Junction,Greviously Injured,0
Tiruchirapalli,Junction,Staggered Junction,Minor Injury,225
Tiruchirapalli,Junction,Staggered Junction,Persons Killed,52
Tiruchirapalli,Junction,Staggered Junction,Total Injured,225
Tiruchirapalli,Junction,Staggered Junction,Total number of Accidents,222
Tiruchirapalli,Junction,T,Greviously Injured,0
Tiruchirapalli,Junction,T,Minor Injury,0
Tiruchirapalli,Junction,T,Persons Killed,0
Tiruchirapalli,Junction,T,Total Injured,0
Tiruchirapalli,Junction,T,Total number of Accidents,0
Tiruchirapalli,Junction,Y,Greviously Injured,0
Tiruchirapalli,Junction,Y,Minor Injury,9
Tiruchirapalli,Junction,Y,Persons Killed,12
Tiruchirapalli,Junction,Y,Total Injured,9
Tiruchirapalli,Junction,Y,Total number of Accidents,19
Vadodra,Junction,Four arm Junction,Greviously Injured,9
Vadodra,Junction,Four arm Junction,Minor Injury,4
Vadodra,Junction,Four arm Junction,Persons Killed,2
Vadodra,Junction,Four arm Junction,Total Injured,13
Vadodra,Junction,Four arm Junction,Total number of Accidents,17
Vadodra,Junction,Others,Greviously Injured,226
Vadodra,Junction,Others,Minor Injury,163
Vadodra,Junction,Others,Persons Killed,150
Vadodra,Junction,Others,Total Injured,389
Vadodra,Junction,Others,Total number of Accidents,455
Vadodra,Junction,Round about Junction,Greviously Injured,3
Vadodra,Junction,Round about Junction,Minor Injury,0
Vadodra,Junction,Round about Junction,Persons Killed,0
Vadodra,Junction,Round about Junction,Total Injured,3
Vadodra,Junction,Round about Junction,Total number of Accidents,2
Vadodra,Junction,Staggered Junction,Greviously Injured,0
Vadodra,Junction,Staggered Junction,Minor Injury,0
Vadodra,Junction,Staggered Junction,Persons Killed,0
Vadodra,Junction,Staggered Junction,Total Injured,0
Vadodra,Junction,Staggered Junction,Total number of Accidents,0
Vadodra,Junction,T,Greviously Injured,3
Vadodra,Junction,T,Minor Injury,0
Vadodra,Junction,T,Persons Killed,1
Vadodra,Junction,T,Total Injured,3
Vadodra,Junction,T,Total number of Accidents,7
Vadodra,Junction,Y,Greviously Injured,0
Vadodra,Junction,Y,Minor Injury,0
Vadodra,Junction,Y,Persons Killed,0
Vadodra,Junction,Y,Total Injured,0
Vadodra,Junction,Y,Total number of Accidents,0
Varanasi,Junction,Four arm Junction,Greviously Injured,14
Varanasi,Junction,Four arm Junction,Minor Injury,12
Varanasi,Junction,Four arm Junction,Persons Killed,20
Varanasi,Junction,Four arm Junction,Total Injured,26
Varanasi,Junction,Four arm Junction,Total number of Accidents,41
Varanasi,Junction,Others,Greviously Injured,127
Varanasi,Junction,Others,Minor Injury,59
Varanasi,Junction,Others,Persons Killed,135
Varanasi,Junction,Others,Total Injured,186
Varanasi,Junction,Others,Total number of Accidents,274
Varanasi,Junction,Round about Junction,Greviously Injured,6
Varanasi,Junction,Round about Junction,Minor Injury,8
Varanasi,Junction,Round about Junction,Persons Killed,7
Varanasi,Junction,Round about Junction,Total Injured,14
Varanasi,Junction,Round about Junction,Total number of Accidents,16
Varanasi,Junction,Staggered Junction,Greviously Injured,8
Varanasi,Junction,Staggered Junction,Minor Injury,11
Varanasi,Junction,Staggered Junction,Persons Killed,11
Varanasi,Junction,Staggered Junction,Total Injured,19
Varanasi,Junction,Staggered Junction,Total number of Accidents,24
Varanasi,Junction,T,Greviously Injured,16
Varanasi,Junction,T,Minor Injury,19
Varanasi,Junction,T,Persons Killed,24
Varanasi,Junction,T,Total Injured,35
Varanasi,Junction,T,Total number of Accidents,55
Varanasi,Junction,Y,Greviously Injured,11
Varanasi,Junction,Y,Minor Injury,14
Varanasi,Junction,Y,Persons Killed,16
Varanasi,Junction,Y,Total Injured,25
Varanasi,Junction,Y,Total number of Accidents,35
Vijaywada city,Junction,Four arm Junction,Greviously Injured,46
Vijaywada city,Junction,Four arm Junction,Minor Injury,80
Vijaywada city,Junction,Four arm Junction,Persons Killed,33
Vijaywada city,Junction,Four arm Junction,Total Injured,126
Vijaywada city,Junction,Four arm Junction,Total number of Accidents,143
Vijaywada city,Junction,Others,Greviously Injured,195
Vijaywada city,Junction,Others,Minor Injury,272
Vijaywada city,Junction,Others,Persons Killed,139
Vijaywada city,Junction,Others,Total Injured,467
Vijaywada city,Junction,Others,Total number of Accidents,500
Vijaywada city,Junction,Round about Junction,Greviously Injured,9
Vijaywada city,Junction,Round about Junction,Minor Injury,13
Vijaywada city,Junction,Round about Junction,Persons Killed,6
Vijaywada city,Junction,Round about Junction,Total Injured,22
Vijaywada city,Junction,Round about Junction,Total number of Accidents,33
Vijaywada city,Junction,Staggered Junction,Greviously Injured,29
Vijaywada city,Junction,Staggered Junction,Minor Injury,27
Vijaywada city,Junction,Staggered Junction,Persons Killed,20
Vijaywada city,Junction,Staggered Junction,Total Injured,56
Vijaywada city,Junction,Staggered Junction,Total number of Accidents,68
Vijaywada city,Junction,T,Greviously Injured,129
Vijaywada city,Junction,T,Minor Injury,157
Vijaywada city,Junction,T,Persons Killed,71
Vijaywada city,Junction,T,Total Injured,286
Vijaywada city,Junction,T,Total number of Accidents,307
Vijaywada city,Junction,Y,Greviously Injured,1
Vijaywada city,Junction,Y,Minor Injury,19
Vijaywada city,Junction,Y,Persons Killed,5
Vijaywada city,Junction,Y,Total Injured,20
Vijaywada city,Junction,Y,Total number of Accidents,21
Vizaq,Junction,Four arm Junction,Greviously Injured,128
Vizaq,Junction,Four arm Junction,Minor Injury,47
Vizaq,Junction,Four arm Junction,Persons Killed,40
Vizaq,Junction,Four arm Junction,Total Injured,175
Vizaq,Junction,Four arm Junction,Total number of Accidents,291
Vizaq,Junction,Others,Greviously Injured,426
Vizaq,Junction,Others,Minor Injury,230
Vizaq,Junction,Others,Persons Killed,144
Vizaq,Junction,Others,Total Injured,656
Vizaq,Junction,Others,Total number of Accidents,956
Vizaq,Junction,Round about Junction,Greviously Injured,11
Vizaq,Junction,Round about Junction,Minor Injury,10
Vizaq,Junction,Round about Junction,Persons Killed,2
Vizaq,Junction,Round about Junction,Total Injured,21
Vizaq,Junction,Round about Junction,Total number of Accidents,29
Vizaq,Junction,Staggered Junction,Greviously Injured,57
Vizaq,Junction,Staggered Junction,Minor Injury,27
Vizaq,Junction,Staggered Junction,Persons Killed,18
Vizaq,Junction,Staggered Junction,Total Injured,84
Vizaq,Junction,Staggered Junction,Total number of Accidents,156
Vizaq,Junction,T,Greviously Injured,147
Vizaq,Junction,T,Minor Injury,69
Vizaq,Junction,T,Persons Killed,34
Vizaq,Junction,T,Total Injured,216
Vizaq,Junction,T,Total number of Accidents,272
Vizaq,Junction,Y,Greviously Injured,25
Vizaq,Junction,Y,Minor Injury,5
Vizaq,Junction,Y,Persons Killed,17
Vizaq,Junction,Y,Total Injured,30
Vizaq,Junction,Y,Total number of Accidents,61
Agra,Traffic Violation,Driving on Wrong side,Greviously Injured,56
Agra,Traffic Violation,Driving on Wrong side,Minor Injury,40
Agra,Traffic Violation,Driving on Wrong side,Total number of Accidents,98
Agra,Traffic Violation,Driving on Wrong side,Persons Killed,51
Agra,Traffic Violation,Driving on Wrong side,Total Injured,96
Agra,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,12
Agra,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,9
Agra,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total number of Accidents,35
Agra,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Persons Killed,29
Agra,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Total Injured,21
Agra,Traffic Violation,Jumping Red Light,Greviously Injured,2
Agra,Traffic Violation,Jumping Red Light,Minor Injury,7
Agra,Traffic Violation,Jumping Red Light,Total number of Accidents,8
Agra,Traffic Violation,Jumping Red Light,Persons Killed,3
Agra,Traffic Violation,Jumping Red Light,Total Injured,9
Agra,Traffic Violation,Others,Greviously Injured,97
Agra,Traffic Violation,Others,Minor Injury,85
Agra,Traffic Violation,Others,Total number of Accidents,254
Agra,Traffic Violation,Others,Persons Killed,143
Agra,Traffic Violation,Others,Total Injured,182
Agra,Traffic Violation,Over,Greviously Injured,202
Agra,Traffic Violation,Over,Minor Injury,112
Agra,Traffic Violation,Over,Total number of Accidents,495
Agra,Traffic Violation,Over,Persons Killed,279
Agra,Traffic Violation,Over,Total Injured,314
Agra,Traffic Violation,Use of Mobile Phone,Greviously Injured,8
Agra,Traffic Violation,Use of Mobile Phone,Minor Injury,3
Agra,Traffic Violation,Use of Mobile Phone,Total number of Accidents,16
Agra,Traffic Violation,Use of Mobile Phone,Persons Killed,9
Agra,Traffic Violation,Use of Mobile Phone,Total Injured,11
Ahmedabad,Traffic Violation,Driving on Wrong side,Greviously Injured,12
Ahmedabad,Traffic Violation,Driving on Wrong side,Minor Injury,2
Ahmedabad,Traffic Violation,Driving on Wrong side,Total number of Accidents,18
Ahmedabad,Traffic Violation,Driving on Wrong side,Persons Killed,5
Ahmedabad,Traffic Violation,Driving on Wrong side,Total Injured,14
Ahmedabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Greviously Injured,5
Ahmedabad,Traffic Violation,Drunken Driving/ Consumption of alcohol and drug,Minor Injury,8
